#{"t_start": 1784985745.947574, "env_id": "None"}
r,l,t,success,caught_by_robot_2,caught_by_robot_1,forced_release_robot_1,forced_release_robot_2
53.302432,643,108.874017,False,True,False,False,False
-23.750782,505,109.842781,False,True,False,False,False
-51.158394,358,110.393777,False,False,False,False,False
50.181339,677,111.446421,False,True,False,False,False
-28.083386,358,111.998128,False,False,False,False,False
-28.361842,351,112.539612,False,False,False,False,False
53.56756,657,113.611979,False,True,False,False,False
-27.66993,360,114.167882,False,False,False,False,False
-24.418512,341,114.690166,False,False,False,False,False
-25.597343,304,115.153146,False,False,False,False,False
53.4748,656,116.366809,False,True,False,False,False
-23.114441,340,116.887674,False,False,False,False,False
-50.821683,360,117.446328,False,False,False,False,False
53.272906,668,118.475822,False,True,False,False,False
-27.680523,358,119.039875,False,False,False,False,False
52.758794,636,120.065416,False,True,False,False,False
-72.590365,343,120.591566,False,False,False,False,False
53.085418,658,121.61279,False,True,False,False,False
-26.187117,303,122.07077,False,False,False,False,False
-27.153227,357,122.814676,False,False,False,False,False
-23.102629,316,123.299017,False,False,False,False,False
-25.730144,305,123.762025,False,False,False,False,False
52.413621,656,124.783456,False,True,False,False,False
-34.504592,360,125.338197,False,False,False,False,False
52.959078,632,126.33431,False,True,False,False,False
-25.685778,304,126.807376,False,False,False,False,False
-29.2177,371,127.377196,False,False,False,False,False
53.514101,654,128.380426,False,True,False,False,False
-27.070977,367,129.143783,False,False,False,False,False
-24.148419,342,129.684326,False,False,False,False,False
52.765914,638,130.666975,False,True,False,False,False
53.009499,653,131.666809,False,True,False,False,False
47.216676,715,132.796347,False,True,False,False,False
53.481873,654,133.845698,False,True,False,False,False
-26.715808,307,134.311935,False,False,False,False,False
54.204782,669,135.555938,False,True,False,False,False
-26.121264,304,136.016456,False,False,False,False,False
52.697864,655,137.021265,False,True,False,False,False
-62.028864,349,137.556801,False,False,False,False,False
-27.1439,360,138.110387,False,False,False,False,False
-22.426032,319,138.616683,False,False,False,False,False
52.394553,634,139.617494,False,True,False,False,False
-24.896815,301,140.072803,False,False,False,False,False
-23.328985,314,140.549299,False,False,False,False,False
51.877003,635,141.535865,False,True,False,False,False
-27.744627,357,142.281251,False,False,False,False,False
52.203492,637,143.262496,False,True,False,False,False
-22.105757,315,143.758176,False,False,False,False,False
-27.945582,358,144.310058,False,False,False,False,False
-69.011381,340,144.834594,False,False,False,False,False
-24.126569,319,145.321331,False,False,False,False,False
-23.983299,341,145.846382,False,False,False,False,False
-22.477544,316,146.388878,False,False,False,False,False
-23.485848,340,146.916401,False,False,False,False,False
-22.886164,333,147.425714,False,False,False,False,False
52.454467,641,148.609932,False,True,False,False,False
-27.677721,360,149.180073,False,False,False,False,False
52.52918,641,150.171063,False,True,False,False,False
52.320792,637,151.151674,False,True,False,False,False
53.885369,661,152.168731,False,True,False,False,False
-26.209824,305,152.678743,False,False,False,False,False
-74.031912,305,153.152722,False,False,False,False,False
-25.597364,303,153.613666,False,False,False,False,False
-59.69641,347,154.148096,False,False,False,False,False
-27.429323,360,154.723043,False,False,False,False,False
53.402175,657,155.93607,False,True,False,False,False
53.756786,650,156.935991,False,True,False,False,False
-26.880186,372,157.511167,False,False,False,False,False
51.265782,640,158.530034,False,True,False,False,False
-27.515406,359,159.104733,False,False,False,False,False
-31.222736,296,159.553064,False,False,False,False,False
-24.40374,340,160.089386,False,False,False,False,False
-23.995151,340,160.611532,False,False,False,False,False
53.790904,656,161.853363,False,True,False,False,False
51.861846,634,162.840915,False,True,False,False,False
94.19346,711,163.936032,False,True,False,False,False
-24.697573,337,164.454769,False,False,False,False,False
